layers,widths,lr,max_iters,training_acc, test_acc, if_test,train_time,test_time
4,"[128, 64, 32, 16]",1e-05,100,0.5757589940531533,0.532472865884302,0,10.104190826416016,0.006997108459472656
4,"[128, 64, 32, 16]",1e-05,150,0.7307209059383843,0.6590311985555529,0,15.534246921539307,0.009360074996948242
4,"[128, 64, 32, 16]",1e-05,200,0.8993923778976163,0.7853594205180137,0,22.406755924224854,0.007925033569335938
4,"[128, 64, 32, 16]",1e-05,250,0.94823877231926,0.8242929251932359,0,27.919179916381836,0.009202957153320312
4,"[128, 64, 32, 16]",0.0001,10,0.5977371873224563,0.5320814084545552,0,1.0993850231170654,0.00900411605834961
4,"[128, 64, 32, 16]",0.0001,25,0.9619056192855593,0.8222602879372063,0,2.5115411281585693,0.008780241012573242
4,"[128, 64, 32, 16]",0.0001,50,0.9991646732774815,0.8489382052045407,0,5.384917974472046,0.008685111999511719
4,"[128, 64, 32, 16]",0.0001,100,1.0,0.8500200516471864,0,9.981024026870728,0.008848905563354492
4,"[128, 64, 32, 16]",0.0001,10,0.6947920823971699,0.6306255142529131,1,1.3014459609985352,0.011593103408813477
4,"[128, 64, 32, 16]",0.0001,25,0.9689590029436392,0.8330065830653408,1,3.201688766479492,0.010885000228881836
4,"[128, 64, 32, 16]",0.0001,50,0.999361706856558,0.8504402679227565,1,6.291105031967163,0.010844945907592773
4,"[128, 64, 32, 16]",0.0001,100,1.0,0.8577362864053304,1,12.504531860351562,0.010320901870727539
1,[64],1e-05,50,0.7670403993324408,0.7197924949355323,1,4.598408937454224,0.01015329360961914
1,[64],1e-05,100,0.8936208869098128,0.8306285460452214,1,8.473759889602661,0.009150981903076172
1,[64],1e-05,150,0.9363381490886862,0.8578986782767822,1,13.865889072418213,0.009432077407836914
1,[64],1e-05,200,0.9614056739517816,0.8766351188652667,1,16.026812076568604,0.009108304977416992
1,[64],1e-05,250,0.9771310348417739,0.88250314386624,1,21.007962942123413,0.01184988021850586
1,[64],1e-05,50,0.720395985865647,0.6629552576386798,0,3.2085001468658447,0.0068721771240234375
1,[64],1e-05,100,0.875010998224808,0.8130092170167545,0,8.554471969604492,0.0075168609619140625
1,[64],1e-05,150,0.9191608962443544,0.8648849310070063,0,13.195828914642334,0.008121967315673828
1,[64],1e-05,200,0.9474429055738932,0.8765488516703055,0,17.279364109039307,0.00839686393737793
1,[64],1e-05,250,0.9707420937911634,0.8837726938881663,0,20.088263034820557,0.008140087127685547
1,[64],0.0001,10,0.8709839539955752,0.8100967244837778,0,0.7135369777679443,0.007543802261352539
1,[64],0.0001,25,0.9582107667506072,0.8762927901409642,0,1.5767760276794434,0.0074880123138427734
1,[64],0.0001,50,0.9966560195743173,0.8912176681643974,0,3.31363582611084,0.007330656051635742
1,[64],0.0001,100,1.0,0.8932179920038295,0,6.284050941467285,0.0071070194244384766
1,[64],0.0001,10,0.8879869359832178,0.8277611811102237,1,0.8775110244750977,0.00972127914428711
1,[64],0.0001,25,0.9669163772639372,0.8808300138687681,1,2.3216609954833984,0.047598838806152344
1,[64],0.0001,50,0.997447410963777,0.8908045849755212,1,4.229330062866211,0.009172201156616211
1,[64],0.0001,100,1.0,0.8920793365802293,1,8.159491062164307,0.009515047073364258
